complaint_text,category,department,subcategory,priority,sentiment,cleaned_text,department_encoded,category_encoded,priority_encoded,sentiment_encoded
The invoice for company purchase ORD-44995 has the wrong corporate GSTIN number and incorrect billing address.,Refunds,Finance,Double Charge Return,P3,Positive,the invoice for company purchase order_id has the wrong corporate gstin number and incorrect billing address.,1,16,2,2
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Invoices,Finance,Duplicate Invoice,P1,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,9,0,0
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Network & Connectivity,IT,VPN Disconnection,P3,Negative,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,11,2,0
Our security scanner flagged an exposed API secret token in a public documentation repository.,Data Exposure,Security,API Key Exposure,P1,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,5,0,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Damaged Package,Logistics,Water Damage,P3,Positive,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,4,2,2
My refund for order ORD-78732 of $624.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Wrong GSTIN Number,P2,Negative,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,9,1,0
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Account Management,Customer Support,Account Deletion,P3,Negative,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,1,2,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Feature Walkthrough,P2,Neutral,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,12,1,1
Need guidance on how to invite additional team members and manage role-based seat allocation.,General Inquiry,Customer Support,Service Availability,P4,Positive,need guidance on how to invite additional team members and manage role-based seat allocation.,0,7,3,2
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Access & Permissions,IT,MFA Token Reset,P2,Negative,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,0,1,0
There is an unexpected recurring billing charge of $435.00 on my statement that I did not authorize.,Billing,Finance,Unexpected Fee,P1,Positive,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,2,0,2
Need guidance on how to invite additional team members and manage role-based seat allocation.,Onboarding,Customer Support,Initial Sync,P3,Negative,need guidance on how to invite additional team members and manage role-based seat allocation.,0,12,2,0
Urgent replacement needed: the received industrial sensors are dead on arrival.,Missing Items,Logistics,Empty Box Received,P2,Neutral,urgent replacement needed the received industrial sensors are dead on arrival.,3,10,1,1
Why am I being billed $205.00 every month when I downgraded to the free tier?,Payments,Finance,Gateway Timeout,P1,Negative,why am i being billed currency_amount every month when i downgraded to the free tier?,1,13,0,0
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Email Change Request,P4,Neutral,need guidance on how to invite additional team members and manage role-based seat allocation.,0,1,3,1
I was charged twice for transaction TXN751517 on my credit card. The amount was $992.00 and both debits cleared my bank account.,Payments,Finance,Card Declined,P1,Negative,i was charged twice for transaction transaction_id on my credit card. the amount was currency_amount and both debits cleared my bank account.,1,13,0,0
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative,urgent i received a login notification from an unrecognized ip address in moscow while i was offline.,4,5,0,0
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Invoices,Finance,Address Correction,P3,Positive,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,9,2,2
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Invoices,Finance,Wrong GSTIN Number,P1,Negative,unable to generate downloadable pdf tax invoices for the past quarter from the billing portal.,1,9,0,0
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative,urgent i received a login notification from an unrecognized ip address in moscow while i was offline.,4,19,1,0
I have been trying to update my primary business email address for three days but verification emails never arrive.,Account Management,Customer Support,Verification,P2,Neutral,i have been trying to update my primary business email address for three days but verification emails never arrive.,0,1,1,1
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Network & Connectivity,IT,Slow Bandwidth,P2,Negative,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,11,1,0
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Delivery Delay,Logistics,Past Delivery Date,P1,Positive,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,6,0,2
