complaint_text,category,department,subcategory,priority,sentiment
The invoice for company purchase ORD-28289 has the wrong corporate GSTIN number and incorrect billing address.,Billing,Finance,Unexpected Fee,P1,Positive
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Unauthorized Access,Security,Suspicious Login Attempt,P2,Negative
The invoice for company purchase ORD-87236 has the wrong corporate GSTIN number and incorrect billing address.,Payments,Finance,Pending Verification,P1,Negative
Our security scanner flagged an exposed API secret token in a public documentation repository.,Data Exposure,Security,PII Leakage,P1,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Unauthorized Access,Security,Session Hijack,P2,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Unauthorized Access,Security,Compromised Token,P2,Negative
Company laptop battery is swelling and won't hold charge for more than 15 minutes off the charger.,Network & Connectivity,IT,VPN Disconnection,P2,Negative
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Data Exposure,Security,API Key Exposure,P1,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,Account Management,Customer Support,Email Change Request,P4,Neutral
I have been trying to update my primary business email address for three days but verification emails never arrive.,Onboarding,Customer Support,Feature Walkthrough,P4,Negative
The invoice for company purchase ORD-75435 has the wrong corporate GSTIN number and incorrect billing address.,Payments,Finance,Gateway Timeout,P4,Negative
I want to transfer ownership of our corporate workspace to a different administrator email.,Onboarding,Customer Support,API Key Provisioning,P4,Positive
Our security scanner flagged an exposed API secret token in a public documentation repository.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative
Why am I being billed $1591.00 every month when I downgraded to the free tier?,Payments,Finance,Card Declined,P4,Positive
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Data Exposure,Security,Public S3 Bucket,P2,Negative
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Account Management,Customer Support,Account Deletion,P3,Positive
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Network & Connectivity,IT,Slow Bandwidth,P3,Negative
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Delivery Delay,Logistics,Courier Exception,P3,Negative
My refund for order ORD-73699 of $298.00 has not been credited even though customer support confirmed 7 days ago.,Payments,Finance,Failed UPI Transaction,P2,Negative
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Phishing,Security,Credential Harvesting,P2,Negative
Cannot access the shared department network drive after the latest OS patch was deployed.,Software Crash,IT,Frozen Screen,P1,Negative
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Network & Connectivity,IT,Slow Bandwidth,P2,Negative
My refund for order ORD-53309 of $305.00 has not been credited even though customer support confirmed 7 days ago.,Billing,Finance,Duplicate Debit,P2,Negative
Account takeover alert: user reported unexpected password change notification and lock-out.,Phishing,Security,Spoofed Domain,P1,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Phishing,Security,Suspicious Email Campaign,P1,Negative
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Unauthorized Tool Usage,P1,Negative
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Hardware,IT,Monitor Display Glitch,P2,Negative
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Phishing,Security,Suspicious Email Campaign,P1,Negative
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Shipment Stuck In Transit,P4,Negative
Session tokens do not seem to invalidate after changing my master password.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Feedback Submission,P3,Neutral
Tracking number ORD-86569 shows package in transit for 14 days with zero updates from the courier.,Delivery Delay,Logistics,Courier Exception,P2,Negative
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Delivery Delay,Logistics,Past Delivery Date,P3,Negative
Bank statement shows duplicate processing fee charges of $2405.00 for order ORD-64948.,Payments,Finance,Failed UPI Transaction,P3,Negative
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Software Crash,IT,Fatal Exception On Launch,P4,Negative
Bank statement shows duplicate processing fee charges of $315.00 for order ORD-23104.,Billing,Finance,Currency Conversion Error,P2,Positive
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Feature Walkthrough,P2,Neutral
Urgent replacement needed: the received industrial sensors are dead on arrival.,Missing Items,Logistics,Incomplete Order Delivery,P2,Negative
Payment of $877.00 via payment gateway timed out but money was debited from my account.,Billing,Finance,Duplicate Debit,P3,Negative
I have been trying to update my primary business email address for three days but verification emails never arrive.,General Inquiry,Customer Support,Documentation Query,P4,Neutral
